id,scene,conversation
action_marinette_0001,"Before we enter the Collusion, we are now entering the Seine, where Marinette and Adrien arrive at the Liberty on Marinette's mini scooter. Nino is waiting for them. They take off their helmets.","Marinette: Everything okay, Nino?
Adrien: We came as soon as we got your message
Marinette: Adrien was giving me my first tamarin lesson- (stutters) I mean, first Mandarin lesson"
action_marinette_0002,Liberty. Nino is walking with Marinette and Adrien following.,"Nino: And it's still there in one form or another
Marinette: That's terrible. (A noise is heard, causing the houseboat to rumble.)
Nino: This morning, the situation suddenly got worse"
action_marinette_0003,"Engine room. Alya slams the toolbox on the engine. Passes tools to Anarka, Juleka, and Ivan.","Adrien: I'm sorry, I didn't even know about this
Marinette: (as she holds Adrien's hand) We know it's a 3d avatar of you. It's not your fault, Adrien. (the rumbling gets louder causing everything to shake once more.)
Ivan: The engine won't hold out! There's too much plastic to get rid of!"
action_marinette_0004,Tom &amp; Sabine Boulangerie Patisserie. Marinette and her friends are listening to Tom.,"Tom: (notices the state Mylène is in) Are you kids sure that you don't mind?
Marinete: Of course not. Daughters help parents and friends help friends. So friends help friends help friends parents, right parents-(stammers) I mean friends?
Warehouse Worker: And the 10,000 plastic candy bags for the Dupain-Cheng bakery! It's all here! (Mylène faints again with Ivan catching her.)"
action_marinette_0005,Bertrand King's plastic warehouse. A man is carrying a box and stacks it on top of other boxes.,"Warehouse Worker: And the 10,000 plastic candy bags for the Dupain-Cheng bakery! It's all here! (Mylène faints again with Ivan catching her.)
Marinette: Thank you, sir! (remembers something) Excuse me sir, would it be possible for us to meet your boss? (Both look toward a statue of Bertrand King.)
Warehouse Worker: Mr. Bertrand King? The King of Plastics? (laughs) No, he never comes here. (points upward) Bosses are up there, on top of the social ladder
Marinette: (as she also points upward) And where can we find the top of the social ladder?"
action_marinette_0006,Bertrand King's office. Bertrand walks to the table and sits down.,"Nino: Products such as plastic bags, wrappers
Marinette: and your Morpho fans
Adrien: What we've come to ask you is to help us put an end to plastic pollution"
action_marinette_0007,Bertrand King's office. Bertrand walks to the table and sits down.,"Marinette: The world won't change without us and you, Mr. Plastic (Stutters) Bertrand (Stutters some more) King-I mean, Mr. King of Plastic
Marinette: (as Markov stops projecting) We're done
Bertrand: That was the clearest presentation I've ever been given. And of course you're right, people buy cheap plastic items, (Max and Mylène look at each other and nod) throw them away and buy those same plastic items over and over again"
action_marinette_0008,Outside. The group is sitting on the steps feeling down.,"Max: The King of Plastic has caused our enthusiasm to drop 99.8%. (a Morpho fan is dropped in front of them. Marinette notices)
Marinette: There's no way we're standing by and doing nothing
André: But Parisians love the Morpho fans, my young friend. Removing the vending machines installed by City Hall across Paris
Marinette: Would make it possible to reduce pollution
André: But it would be very damaging to my image. (opens up a fan with his face on it)"
action_marinette_0009,City. Adrien is talking to Marinette on video with the others in the background.,"Adrien: (on phone) My father hasn't listened to me at all
Marinette: Hold on, we might have one more chance
Nadja: I just can't report Bertrand King's practices in my news broadcast
Marinette: (as Manon is drawing beside her) But, why not?
Nadja: Because the King of Plastic is also the king of our TV channel. It's the money from his advertisements that allows us to exist
Marinette: But if you don't talk about it, people will never know why the products he sells cause pollution. Please, Nadja. Do it for Manon! For the world she'll grow up in!
Nadja: If I did, the world she'll grow up in will be a world where her mom no longer had a job. I'm sorry, Marinette"
action_marinette_0010,Dupain-Cheng living room. Tom and Sabine are seen watching the broadcast.,"Marinette: Sorry to interrupt your TV news. I'm Marinette and for the past few days, my friends and I have tried to raise awareness of a serious problem to people who have the power to act
Marinette: But none of them have taken us seriously
Tom and Sabine: Marinette?!"
