id,scene,conversation
action_adrien_0001,"Engine room. Alya slams the toolbox on the engine. Passes tools to Anarka, Juleka, and Ivan.","Markov: (as the houseboat continues to rumble) We've detected a large increase of plastic waste in the Seine. All coming from the same item
Adrien: (puzzled) Same item? What do you mean?
Nino: Paris City Hall decided to install vending machines everywhere in order to sell these. (Alya pulls up her Alliance ring, which shows an advertisement.)"
action_adrien_0002,"Liberty. The plastic containers start to rumble. Cut back to the engine room as it starts to overheat and smoke out. The engine overloads, causing all the plastic to be blown out of the Liberty and onto the ground.","Nino: (picks up a hand fan) This is why we need you buddy. (shows him the fan.) These fans are a major eco-disaster. You have to talk to your old man
Adrien: You know how my father is. He won't listen to me
Marinette: (takes the hand fan) What if we try solve this another way? (Opens up the fan revealing the logo of Bertrand King.) By going straight to the root of the problem?"
action_adrien_0003,"Bertrand King's office, outside. Nino is approaching the building in a disguise. He looks around.","Guard: You! (opens up a fan with Adrien on it) It's you on the fans, isn't it?
Adrien: Uh... (Marinette steps in)
Marinette: Yes, it is him! Adrien Agreste in the flesh! (gestures to Adrien as he smiles) Amazing, right? (as Nino breaths a sigh of relief) And as it turns out, we're escorting him, all of us, to his meeting with Mr. Bertrand King
Adrien: Right, that's it. I'm uh...(looks towards Marinette for help)
Marinette: Here to discuss new advertising campaigns for the Morpho fans
Adrien: Right
Marinette: We're his personal team of... (coming up with an excuse) ...delivery and cleaning people"
action_adrien_0004,Gabriel's atelier. Adrien is seen talking to his father as he's working.,"André: But it would be very damaging to my image. (opens up a fan with his face on it)
Adrien: Plastic can even be found in your clothes. And in these hand fans you designed. If you could help us convince Bertrand King
Gabriel: You know, Adrien. Great designers have to make certain compromises, these fans are only a trend, a way to keep the Gabriel brand thriving. They will disappear as soon as the heat wave is over
Adrien: (gasps, angry) The damages they cause to the environment will remain for several centuries!
Gabriel: It's been very nice to talk to you, Adrien. Now if you excuse me, I have work to do
Adrien: (on phone) My father hasn't listened to me at all"
action_adrien_0005,Marinette's balcony. Adrien is teaching Marinette Mandarin.,"Monarch: I'm afraid Gabriel Agreste is unavailable at the moment
Adrien: 你好女士. (Translation: Hello, miss.)
Marinette: 你好怒視. (Translation: Hello, angry.) That's still not it, is it?
Adrien: That was almost it. Your ""hello"" was perfect. But remember, the last syllable of ""miss"" has a falling tone. 女士. (Translation: Miss.)
Marinette: 女士. (translates, Miss.) (rumbles) Was that so bad that I triggered lightning?! (notices King of Plastic jumping from building to building.)
Adrien: I promised my father that I'd go home in any sign of trouble. Will you be okay?
Marinette: Yeah, don't worry. I've got to review my Mandarin. (giggles)
Adrien: Ok, see you later then. (goes downstairs)"
action_adrien_0006,City. Adrien goes under a building to transform.,"Adrien: Ok, see you later then. (goes downstairs)
Adrien: There's no time to waste! The sooner Cat Noir saves Paris, the sooner Adrien can get back to Marinette! (lets Plagg out of his jacket.)
Plagg: And the sooner I can eat camembert!
Adrien: Plagg, claws out! (transforms into Cat Noir)"
adoration_adrien_0001,"Interior, the Agreste mansion, in the kitchen. The whole Agreste household is gathered around the kitchen table.","Gabriel: (begrudingly) Alright, fine
Adrien: Thank you, Dad!
Gabriel: (on-call) You're supposed to be protecting my son, and yet, Marinette Dupain-Cheng is still being a very bad influence on him!"
adoration_adrien_0002,At the Eiffel Tower. All the people that Marinette and Zoé have collaborated with are gathered with them at the venue.,"Ladybug: No, it was an akumatized villain! There — Vanisher!
Adrien: Ladybug's going to need us to plead her case! Plagg, claws out! (transforms into Cat Noir)
Cat Noir: I got your message and got here quickly as I could, m'lady"
adoration_adrien_0003,"Exterior, the Agreste mansion, outside the gate. Adrien is seen walking towards the entrance.","Marinette: Adrien!! (runs and pants as she stops in front of him)
Adrien: What's going on, Marinette?
Marinette: I— My hair is a mess, I'm not wearing my princess dress, there's no music, no rose petals everywhere, and we're not on the Eiffel Tower. But even though this isn't at all how I'd imagined this magical moment would play out, it feels right"
adoration_adrien_0004,"Exterior, the Agreste mansion, outside the gate. Adrien is seen walking towards the entrance.","Marinette: Is something wrong...?
Adrien: (slowly steps back) I don't know... I feel strange. Maybe you should go home
Marinette: Oh... okay
Adrien: I'm sorry
Marinette: The important thing is... that I told him how I feel. Right, Tikki?"
adrien_s_double_life_adrien_0001,,"Adrien: Hey guys, I'm Adrien. In everyday life, I’m just a normal guy
Alya: Nice scarf, Adrien!
Adrien: Well, almost. Because my father is Gabriel Agreste, a great world-renowned fashion designer. I sometimes model for him, posing for his advertising campaigns. I don't hate it, but I won't make a career out of it. Actually, I mostly do it to make my father happy. Ever since Mom disappeared, he hasn't been the same. So, I try to be there for him. On a day to day basis, his assistant Nathalie is really the one taking care of me"
adrien_s_double_life_adrien_0002,,"Adrien: Thanks, Nathalie
Adrien: She and the Gorilla. I call him that because he's huge and he never speaks, just like a gorilla! He drives me to all my activities. Between photoshoots, fencing, learning Chinese and piano, I don't have much time for myself. I don't even have time to enjoy my awesome room, or to invite my friends over to hang out
Plagg: Oh, the exhaustion! My poor aching body! I can’t move a muscle!
Adrien: He’s lazy, but thanks to him, I can turn into a superhero"
adrien_s_double_life_adrien_0003,,"Adrien: Plagg, claws out! (Adrien transforms into Cat Noir)
Adrien: He just has to enter my Miraculous, the ring I'm always wearing, and bam! I transform! He’s also the one who gave me my superpower
Cat Noir: Cataclysm!
Adrien: With it, I can destroy whatever I touch. But I can't get it wrong, because I only have 5 minutes after using it before I transform back. Then, Ladybug just needs to capture the villain's akuma"
anansi_adrien_0001,"Césaire apartment, living room. Alya and Nino are dancing in front of the television. Marinette is watching from behind, next to her phone with Adrien on videocall.","Alya: (unimpressed) You mean like the other day at the square?
Adrien: (on videocall) What happened?
Marinette: Well… we came across a man handing out flyers (shows a man in a banana costume getting picked up by Nora as his flyers of the ""Adrien"" ad get strewn around) Nora thought the man was akumatized and wanted to turn Alya into a banana-zombie"
anansi_adrien_0002,"Césaire apartment, living room. Alya and Nino are dancing in front of the television. Marinette is watching from behind, next to her phone with Adrien on videocall.","Nora: (turns her head to look where Marinette pointed) What?!
Adrien: And the winner is… Nino!
Marinette: (fake sheepishly) Oops, my bad; it was just a fly"
anansi_adrien_0003,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Adrien: (on videocall) Uh… uh… I think my wifi is losing signal. (hangs up; then, in his room, to Plagg) My friends are in danger
Adrien: Plagg, claws out! (Adrien transforms into Cat Noir)
Anansi: (climbs up to the window of her sister's and friends' cabin) Well, well. There you are, fly-weights"
